Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Status,Ticket Priority,Ticket Channel,Viewed Ticket,Ticket Solved,Customer Satisfaction Rating
35,0,Dell XPS,01-08-2021,Billing inquiry,0,0,Social media,0,0,0
52,0,Nintendo Switch,14-11-2020,Technical issue,1,2,Social media,1,0,0
55,1,Nikon D,19-05-2020,Cancellation request,1,3,Email,1,0,0
35,1,GoPro Action Camera,19-05-2020,Refund request,0,2,Social media,0,0,0
67,1,MacBook Pro,11-04-2021,Billing inquiry,0,3,Social media,0,0,0
68,1,Samsung Galaxy,05-03-2021,Refund request,1,2,Chat,1,0,0
55,0,Canon DSLR Camera,16-04-2020,Technical issue,2,1,Chat,1,1,2
38,1,Microsoft Xbox Controller,24-06-2020,Product inquiry,2,1,Phone,1,1,3
68,0,Autodesk AutoCAD,08-06-2021,Technical issue,0,2,Email,0,0,0
38,0,Autodesk AutoCAD,01-01-2020,Technical issue,2,0,Phone,1,1,3
69,1,Sony PlayStation,05-02-2021,Product inquiry,2,0,Phone,1,1,5
70,0,Garmin Forerunner,03-09-2020,Billing inquiry,2,2,Chat,1,1,5
35,1,Nintendo Switch,28-02-2021,Technical issue,0,2,Email,0,0,0
31,0,iPhone,14-02-2020,Billing inquiry,2,0,Email,1,1,5
33,1,Garmin Forerunner,12-03-2021,Billing inquiry,2,3,Phone,1,1,5
32,1,Philips Hue Lights,12-09-2021,Technical issue,0,3,Phone,0,0,0
40,1,Nest Thermostat,02-08-2020,Product inquiry,1,0,Phone,1,0,0
45,1,Microsoft Office,29-08-2020,Refund request,2,3,Email,1,1,5
52,0,Bose QuietComfort,17-01-2020,Technical issue,1,1,Phone,1,0,0
20,0,GoPro Action Camera,09-09-2021,Product inquiry,2,0,Social media,1,1,2
47,1,Fitbit Charge,14-12-2020,Cancellation request,1,3,Email,1,0,0
51,1,Samsung Galaxy,21-10-2020,Billing inquiry,2,3,Chat,1,1,2
44,1,Samsung Galaxy,08-04-2020,Refund request,1,0,Chat,1,0,0
19,1,Nintendo Switch,16-12-2021,Product inquiry,1,2,Phone,1,0,0
64,1,Canon EOS,30-04-2020,Refund request,2,2,Chat,1,1,4
32,1,Microsoft Surface,30-07-2021,Refund request,1,3,Email,1,0,0
51,0,Sony PlayStation,18-11-2021,Billing inquiry,0,3,Chat,0,0,0
55,1,LG Washing Machine,30-01-2021,Product inquiry,0,2,Phone,0,0,0
46,1,Google Pixel,11-01-2020,Technical issue,2,2,Social media,1,1,1
18,0,LG Smart TV,17-02-2021,Refund request,2,3,Social media,1,1,4
38,1,Sony PlayStation,13-09-2020,Billing inquiry,0,1,Social media,0,0,0
69,0,Philips Hue Lights,19-01-2021,Technical issue,2,0,Phone,1,1,5
46,1,iPhone,27-02-2020,Billing inquiry,2,2,Chat,1,1,3
58,0,Microsoft Office,10-07-2021,Refund request,2,2,Phone,1,1,1
45,0,Roomba Robot Vacuum,27-06-2020,Technical issue,2,0,Chat,1,1,2
36,0,MacBook Pro,14-09-2021,Billing inquiry,2,2,Chat,1,1,3
69,1,Microsoft Office,24-10-2021,Billing inquiry,0,2,Email,0,0,0
43,1,Bose SoundLink Speaker,27-10-2021,Technical issue,0,0,Chat,0,0,0
38,1,Philips Hue Lights,09-09-2020,Technical issue,0,0,Phone,0,0,0
51,0,Adobe Photoshop,07-07-2021,Cancellation request,2,1,Phone,1,1,3
52,1,MacBook Pro,13-09-2020,Technical issue,1,1,Phone,1,0,0
46,1,Adobe Photoshop,28-08-2021,Billing inquiry,1,1,Social media,1,0,0
30,0,Nintendo Switch,13-10-2021,Billing inquiry,0,1,Chat,0,0,0
29,0,Sony Xperia,14-05-2021,Product inquiry,0,1,Phone,0,0,0
67,1,LG Smart TV,19-01-2020,Technical issue,0,0,Phone,0,0,0
33,1,Canon EOS,19-01-2020,Refund request,0,0,Phone,0,0,0
57,1,Sony 4K HDR TV,10-12-2020,Product inquiry,0,1,Email,0,0,0
45,0,Sony Xperia,31-08-2021,Cancellation request,0,0,Social media,0,0,0
46,0,Autodesk AutoCAD,26-06-2021,Technical issue,2,3,Social media,1,1,5
23,1,Fitbit Charge,04-02-2020,Technical issue,1,2,Social media,1,0,0
30,1,Philips Hue Lights,04-05-2020,Refund request,2,0,Chat,1,1,1
46,0,Google Nest,19-02-2020,Billing inquiry,2,1,Social media,1,1,3
40,1,Roomba Robot Vacuum,05-07-2020,Billing inquiry,1,3,Social media,1,0,0
28,0,Google Pixel,09-08-2021,Product inquiry,1,0,Phone,1,0,0
52,0,LG OLED,10-06-2020,Refund request,1,2,Social media,1,0,0
36,0,GoPro Hero,17-05-2020,Product inquiry,2,2,Email,1,1,3
49,1,GoPro Hero,05-04-2021,Cancellation request,2,2,Email,1,1,1
19,0,Sony Xperia,04-10-2020,Refund request,0,1,Phone,0,0,0
21,0,Canon EOS,05-11-2020,Refund request,0,1,Chat,0,0,0
51,1,LG Smart TV,28-10-2020,Product inquiry,0,2,Social media,0,0,0
65,1,Samsung Soundbar,10-05-2020,Product inquiry,2,3,Email,1,1,5
31,0,Nikon D,03-11-2020,Technical issue,2,0,Social media,1,1,2
49,1,MacBook Pro,10-09-2021,Billing inquiry,0,3,Email,0,0,0
25,0,LG OLED,09-11-2020,Refund request,1,1,Chat,1,0,0
27,0,iPhone,12-01-2021,Billing inquiry,0,3,Email,0,0,0
60,0,Fitbit Charge,19-06-2021,Cancellation request,1,1,Social media,1,0,0
31,1,Xbox,19-04-2020,Product inquiry,0,1,Social media,0,0,0
44,1,MacBook Pro,05-01-2021,Product inquiry,0,2,Phone,0,0,0
45,0,Roomba Robot Vacuum,03-02-2020,Technical issue,2,2,Social media,1,1,1
48,1,PlayStation,17-10-2020,Technical issue,0,3,Phone,0,0,0
19,0,MacBook Pro,21-06-2020,Refund request,1,1,Email,1,0,0
20,1,Asus ROG,14-08-2021,Refund request,1,1,Social media,1,0,0
61,0,Lenovo ThinkPad,24-07-2021,Cancellation request,1,3,Email,1,0,0
36,0,Garmin Forerunner,05-07-2020,Billing inquiry,2,0,Phone,1,1,2
55,0,PlayStation,07-11-2020,Technical issue,0,3,Chat,0,0,0
66,0,Amazon Kindle,06-07-2020,Billing inquiry,2,0,Phone,1,1,4
44,1,Google Pixel,13-09-2021,Cancellation request,0,0,Email,0,0,0
52,1,Nikon D,28-11-2020,Refund request,2,1,Phone,1,1,2
68,1,PlayStation,22-08-2020,Cancellation request,0,3,Chat,0,0,0
65,1,Nintendo Switch Pro Controller,28-05-2020,Refund request,1,2,Email,1,0,0
60,1,Samsung Soundbar,08-04-2020,Technical issue,0,1,Phone,0,0,0
24,1,Adobe Photoshop,27-01-2020,Refund request,0,0,Chat,0,0,0
22,0,LG Smart TV,27-08-2020,Product inquiry,0,3,Social media,0,0,0
61,0,Philips Hue Lights,26-09-2020,Billing inquiry,2,1,Email,1,1,4
18,1,Roomba Robot Vacuum,13-12-2020,Refund request,0,3,Email,0,0,0
28,1,iPhone,13-11-2020,Billing inquiry,1,3,Social media,1,0,0
24,0,Xbox,11-04-2021,Refund request,1,2,Social media,1,0,0
62,0,Amazon Kindle,01-12-2021,Technical issue,0,0,Chat,0,0,0
34,1,Microsoft Xbox Controller,23-01-2021,Technical issue,0,0,Phone,0,0,0
32,0,Nest Thermostat,09-01-2020,Billing inquiry,2,3,Phone,1,1,5
52,1,LG Smart TV,14-03-2021,Cancellation request,1,1,Phone,1,0,0
57,1,Microsoft Xbox Controller,26-05-2021,Billing inquiry,0,3,Phone,0,0,0
27,1,GoPro Hero,25-06-2021,Cancellation request,1,2,Social media,1,0,0
37,0,Microsoft Office,01-11-2020,Billing inquiry,0,0,Chat,0,0,0
67,1,Microsoft Xbox Controller,09-12-2021,Technical issue,2,1,Email,1,1,1
59,0,Microsoft Xbox Controller,14-02-2020,Cancellation request,2,2,Email,1,1,5
63,0,Nikon D,17-02-2021,Cancellation request,1,1,Social media,1,0,0
43,1,Microsoft Xbox Controller,20-11-2021,Cancellation request,0,1,Phone,0,0,0
22,1,Asus ROG,25-06-2020,Billing inquiry,1,0,Phone,1,0,0
40,1,MacBook Pro,23-05-2021,Refund request,0,0,Social media,0,0,0
58,1,Nikon D,18-03-2020,Product inquiry,1,3,Social media,1,0,0
62,0,Asus ROG,06-05-2020,Refund request,0,2,Social media,0,0,0
47,0,Bose QuietComfort,06-01-2021,Technical issue,1,2,Social media,1,0,0
62,1,Sony PlayStation,15-09-2020,Cancellation request,0,0,Chat,0,0,0
67,0,Apple AirPods,25-10-2020,Technical issue,2,3,Social media,1,1,3
58,0,Philips Hue Lights,16-12-2020,Technical issue,2,2,Email,1,1,5
32,0,Samsung Galaxy,27-09-2020,Technical issue,0,1,Chat,0,0,0
51,0,GoPro Hero,05-09-2021,Billing inquiry,1,1,Phone,1,0,0
52,0,GoPro Hero,26-02-2020,Billing inquiry,0,3,Email,0,0,0
67,1,Canon EOS,28-02-2020,Refund request,0,1,Email,0,0,0
30,0,iPhone,21-04-2020,Billing inquiry,2,0,Phone,1,1,2
33,0,Bose SoundLink Speaker,19-10-2020,Refund request,2,0,Email,1,1,1
46,0,Nest Thermostat,12-04-2020,Billing inquiry,2,1,Email,1,1,5
62,1,Sony Xperia,26-10-2020,Refund request,1,1,Email,1,0,0
27,1,LG OLED,21-04-2020,Billing inquiry,1,0,Social media,1,0,0
63,1,Bose SoundLink Speaker,22-01-2021,Refund request,1,3,Email,1,0,0
24,1,Canon EOS,26-09-2020,Cancellation request,0,0,Phone,0,0,0
36,0,Amazon Kindle,08-06-2020,Product inquiry,0,3,Phone,0,0,0
23,1,Sony 4K HDR TV,23-06-2020,Billing inquiry,0,0,Phone,0,0,0
22,1,Nintendo Switch Pro Controller,12-04-2020,Product inquiry,0,2,Email,0,0,0
19,1,Xbox,28-08-2020,Product inquiry,1,0,Social media,1,0,0
29,0,Google Pixel,16-09-2020,Technical issue,2,3,Chat,1,1,3
63,0,LG Smart TV,08-11-2020,Refund request,2,0,Social media,1,1,3
25,0,Amazon Kindle,24-02-2021,Billing inquiry,1,2,Social media,1,0,0
32,0,Canon DSLR Camera,24-06-2021,Billing inquiry,0,2,Chat,0,0,0
23,1,Canon EOS,26-03-2020,Refund request,0,2,Social media,0,0,0
64,1,LG OLED,20-05-2021,Billing inquiry,1,1,Social media,1,0,0
24,1,Google Nest,12-01-2020,Product inquiry,1,1,Chat,1,0,0
69,0,Canon DSLR Camera,03-08-2021,Cancellation request,2,2,Email,1,1,2
27,1,GoPro Action Camera,21-08-2020,Billing inquiry,1,3,Chat,1,0,0
35,0,Dyson Vacuum Cleaner,13-02-2021,Cancellation request,2,3,Social media,1,1,4
37,1,Garmin Forerunner,01-08-2020,Billing inquiry,0,3,Social media,0,0,0
64,1,iPhone,22-05-2020,Refund request,1,1,Phone,1,0,0
55,1,Philips Hue Lights,18-08-2021,Cancellation request,0,1,Social media,0,0,0
34,0,Dyson Vacuum Cleaner,10-04-2020,Billing inquiry,2,2,Social media,1,1,5
29,1,LG Smart TV,08-09-2020,Refund request,2,0,Phone,1,1,2
35,1,GoPro Action Camera,26-09-2020,Billing inquiry,1,3,Phone,1,0,0
41,1,Amazon Kindle,04-12-2021,Product inquiry,0,0,Email,0,0,0
52,1,Sony PlayStation,06-03-2020,Billing inquiry,1,0,Chat,1,0,0
22,0,Sony 4K HDR TV,08-08-2021,Billing inquiry,0,2,Email,0,0,0
63,1,Xbox,02-05-2021,Cancellation request,1,2,Chat,1,0,0
39,1,Google Pixel,04-01-2020,Product inquiry,1,3,Chat,1,0,0
57,1,Google Pixel,13-06-2021,Refund request,0,3,Social media,0,0,0
34,0,Google Pixel,20-07-2020,Refund request,2,1,Social media,1,1,5
26,0,GoPro Hero,29-08-2021,Refund request,1,3,Social media,1,0,0
34,0,PlayStation,09-08-2021,Product inquiry,2,1,Phone,1,1,5
56,1,Bose QuietComfort,07-12-2020,Technical issue,2,3,Social media,1,1,4
67,1,Bose QuietComfort,22-05-2021,Refund request,1,2,Phone,1,0,0
67,0,Nest Thermostat,19-11-2020,Refund request,0,0,Social media,0,0,0
32,0,LG OLED,10-06-2020,Cancellation request,1,0,Email,1,0,0
53,1,Garmin Forerunner,10-08-2020,Refund request,0,1,Phone,0,0,0
56,1,Apple AirPods,24-01-2021,Technical issue,0,3,Email,0,0,0
27,1,iPhone,13-09-2021,Refund request,1,2,Social media,1,0,0
50,1,Fitbit Versa Smartwatch,07-09-2020,Technical issue,1,3,Chat,1,0,0
21,0,Roomba Robot Vacuum,20-09-2021,Technical issue,1,2,Chat,1,0,0
41,1,GoPro Action Camera,02-08-2020,Cancellation request,0,3,Chat,0,0,0
61,0,Microsoft Surface,13-01-2021,Refund request,1,1,Email,1,0,0
64,0,Garmin Forerunner,01-10-2020,Technical issue,1,2,Chat,1,0,0
34,1,Dyson Vacuum Cleaner,02-10-2020,Cancellation request,2,1,Chat,1,1,4
28,0,LG Smart TV,07-04-2021,Cancellation request,2,1,Email,1,1,4
26,0,Fitbit Charge,21-02-2020,Product inquiry,1,1,Chat,1,0,0
33,1,Google Nest,25-05-2021,Refund request,2,3,Email,1,1,2
46,0,Xbox,06-06-2021,Cancellation request,1,0,Social media,1,0,0
64,0,GoPro Action Camera,29-11-2021,Product inquiry,1,0,Email,1,0,0
30,0,Apple AirPods,27-03-2020,Cancellation request,2,2,Phone,1,1,3
50,1,Sony PlayStation,09-06-2020,Product inquiry,2,0,Phone,1,1,4
37,0,MacBook Pro,25-10-2021,Cancellation request,1,1,Chat,1,0,0
49,1,Adobe Photoshop,12-05-2021,Technical issue,2,0,Chat,1,1,3
58,1,Lenovo ThinkPad,06-09-2020,Refund request,2,2,Phone,1,1,1
49,0,Philips Hue Lights,25-01-2020,Product inquiry,2,3,Email,1,1,5
34,1,GoPro Hero,03-07-2020,Refund request,2,1,Phone,1,1,3
55,0,Dell XPS,21-02-2020,Billing inquiry,2,0,Social media,1,1,4
37,0,iPhone,28-07-2020,Cancellation request,1,2,Social media,1,0,0
58,0,Sony 4K HDR TV,24-12-2021,Cancellation request,2,0,Chat,1,1,5
55,1,Google Nest,07-06-2021,Refund request,0,1,Phone,0,0,0
63,1,Microsoft Surface,05-03-2021,Cancellation request,1,0,Chat,1,0,0
59,1,Autodesk AutoCAD,21-10-2020,Product inquiry,2,2,Email,1,1,2
69,1,Apple AirPods,22-07-2020,Billing inquiry,1,3,Email,1,0,0
44,1,Fitbit Charge,30-03-2020,Cancellation request,0,3,Social media,0,0,0
65,1,Bose QuietComfort,27-05-2021,Billing inquiry,1,2,Phone,1,0,0
39,1,Xbox,20-10-2021,Refund request,1,3,Social media,1,0,0
57,0,Amazon Kindle,09-01-2020,Technical issue,2,2,Chat,1,1,2
68,1,MacBook Pro,05-12-2020,Technical issue,1,3,Phone,1,0,0
68,1,Dell XPS,08-06-2020,Technical issue,0,1,Social media,0,0,0
57,1,PlayStation,11-01-2020,Technical issue,1,2,Phone,1,0,0
21,1,Nikon D,01-04-2020,Cancellation request,1,1,Social media,1,0,0
46,0,Dell XPS,07-12-2021,Product inquiry,1,0,Chat,1,0,0
69,0,Canon DSLR Camera,24-04-2020,Product inquiry,0,3,Phone,0,0,0
68,1,Nintendo Switch Pro Controller,22-01-2020,Product inquiry,0,1,Phone,0,0,0
41,1,LG Smart TV,02-03-2021,Cancellation request,0,1,Social media,0,0,0
55,0,Dell XPS,09-06-2020,Cancellation request,1,0,Phone,1,0,0
39,0,Canon EOS,02-07-2021,Cancellation request,2,0,Email,1,1,3
55,0,Google Pixel,16-04-2020,Refund request,0,0,Email,0,0,0
51,0,Google Pixel,13-09-2020,Cancellation request,1,3,Phone,1,0,0
50,1,Samsung Galaxy,26-12-2020,Product inquiry,0,2,Social media,0,0,0
56,1,Philips Hue Lights,11-04-2021,Refund request,1,2,Phone,1,0,0
24,0,Philips Hue Lights,24-05-2021,Billing inquiry,0,0,Email,0,0,0
54,1,LG Washing Machine,20-12-2021,Cancellation request,1,2,Email,1,0,0
63,1,LG Washing Machine,22-11-2021,Technical issue,0,2,Chat,0,0,0
18,0,Microsoft Office,23-07-2021,Technical issue,0,2,Email,0,0,0
21,0,Fitbit Charge,15-09-2021,Refund request,1,3,Chat,1,0,0
26,0,Amazon Echo,22-10-2020,Cancellation request,2,3,Email,1,1,5
58,1,Xbox,14-08-2020,Cancellation request,1,0,Email,1,0,0
22,1,PlayStation,24-08-2020,Technical issue,1,3,Phone,1,0,0
21,0,MacBook Pro,04-08-2020,Product inquiry,2,2,Email,1,1,4
23,0,Amazon Echo,29-07-2020,Refund request,2,0,Social media,1,1,5
70,0,Sony Xperia,07-09-2021,Refund request,2,2,Chat,1,1,1
36,1,Fitbit Versa Smartwatch,09-03-2021,Technical issue,2,0,Phone,1,1,1
61,0,iPhone,18-03-2020,Cancellation request,0,3,Phone,0,0,0
56,1,Dell XPS,13-05-2021,Billing inquiry,0,0,Phone,0,0,0
68,1,Google Nest,21-03-2021,Refund request,2,0,Email,1,1,4
47,1,PlayStation,30-05-2020,Product inquiry,1,3,Phone,1,0,0
46,1,MacBook Pro,03-01-2021,Billing inquiry,0,0,Social media,0,0,0
66,0,Bose QuietComfort,16-03-2021,Product inquiry,2,1,Email,1,1,4
67,0,GoPro Action Camera,16-02-2021,Cancellation request,1,0,Social media,1,0,0
48,0,Microsoft Xbox Controller,07-10-2020,Refund request,0,0,Social media,0,0,0
51,1,LG Washing Machine,09-06-2020,Product inquiry,0,0,Phone,0,0,0
27,1,Dell XPS,08-09-2020,Technical issue,1,2,Email,1,0,0
50,0,Amazon Kindle,04-06-2020,Technical issue,2,1,Phone,1,1,5
38,1,HP Pavilion,23-04-2021,Refund request,0,3,Phone,0,0,0
34,1,Amazon Echo,22-03-2020,Billing inquiry,0,2,Phone,0,0,0
18,0,Dell XPS,28-02-2021,Cancellation request,1,1,Phone,1,0,0
33,1,Sony 4K HDR TV,29-10-2020,Technical issue,2,3,Social media,1,1,1
55,0,LG Washing Machine,05-01-2021,Billing inquiry,0,3,Phone,0,0,0
46,0,LG Smart TV,16-02-2020,Technical issue,2,2,Chat,1,1,3
68,1,Bose SoundLink Speaker,13-10-2021,Cancellation request,1,1,Email,1,0,0
54,0,Fitbit Versa Smartwatch,26-01-2020,Product inquiry,2,3,Social media,1,1,3
48,1,LG Washing Machine,02-07-2021,Product inquiry,1,1,Social media,1,0,0
30,1,Roomba Robot Vacuum,24-06-2021,Cancellation request,1,1,Email,1,0,0
46,0,Fitbit Charge,17-12-2020,Refund request,0,2,Chat,0,0,0
27,1,Apple AirPods,17-07-2021,Product inquiry,1,1,Email,1,0,0
29,0,Microsoft Xbox Controller,23-11-2020,Billing inquiry,2,2,Email,1,1,2
22,1,Sony PlayStation,13-11-2021,Cancellation request,0,2,Email,0,0,0
35,1,Amazon Kindle,01-07-2021,Technical issue,0,2,Social media,0,0,0
41,0,Bose SoundLink Speaker,21-05-2021,Cancellation request,1,3,Social media,1,0,0
20,0,Asus ROG,01-10-2021,Technical issue,2,2,Chat,1,1,3
40,1,Apple AirPods,15-02-2021,Refund request,0,1,Email,0,0,0
25,0,Nest Thermostat,28-05-2020,Technical issue,1,0,Phone,1,0,0
57,0,Amazon Kindle,11-08-2020,Product inquiry,1,2,Phone,1,0,0
52,1,Samsung Soundbar,29-02-2020,Product inquiry,1,2,Phone,1,0,0
31,1,Canon EOS,19-06-2020,Refund request,0,2,Email,0,0,0
64,1,Garmin Forerunner,28-02-2020,Product inquiry,2,2,Social media,1,1,4
36,1,Nest Thermostat,22-05-2020,Technical issue,0,1,Chat,0,0,0
24,0,Garmin Forerunner,26-05-2021,Billing inquiry,1,2,Chat,1,0,0
26,0,Xbox,24-02-2021,Billing inquiry,1,3,Chat,1,0,0
40,1,Nest Thermostat,19-03-2020,Refund request,0,3,Phone,0,0,0
47,0,GoPro Hero,26-12-2021,Technical issue,2,3,Social media,1,1,1
47,0,HP Pavilion,06-12-2021,Cancellation request,0,0,Phone,0,0,0
65,1,Dyson Vacuum Cleaner,05-09-2021,Technical issue,0,0,Chat,0,0,0
19,1,Dyson Vacuum Cleaner,02-02-2021,Cancellation request,1,2,Email,1,0,0
20,1,Autodesk AutoCAD,04-12-2021,Refund request,0,3,Email,0,0,0
25,0,LG Washing Machine,30-09-2020,Billing inquiry,2,2,Social media,1,1,4
59,1,Microsoft Surface,01-08-2020,Billing inquiry,0,0,Phone,0,0,0
31,0,Garmin Forerunner,03-12-2021,Cancellation request,1,1,Email,1,0,0
23,0,Canon DSLR Camera,30-06-2021,Billing inquiry,1,1,Phone,1,0,0
38,1,Asus ROG,22-05-2021,Technical issue,2,1,Email,1,1,2
39,1,Sony PlayStation,19-01-2021,Refund request,1,0,Chat,1,0,0
26,0,LG Washing Machine,24-04-2021,Technical issue,0,1,Email,0,0,0
62,1,Bose QuietComfort,09-07-2021,Technical issue,2,1,Chat,1,1,3
70,1,Autodesk AutoCAD,22-01-2021,Billing inquiry,0,2,Social media,0,0,0
23,0,Dyson Vacuum Cleaner,19-06-2020,Cancellation request,2,0,Phone,1,1,4
61,1,Adobe Photoshop,06-04-2021,Billing inquiry,2,3,Email,1,1,2
49,0,Nintendo Switch Pro Controller,16-05-2020,Billing inquiry,1,0,Social media,1,0,0
19,1,Microsoft Surface,08-09-2020,Refund request,1,1,Phone,1,0,0
34,0,Amazon Echo,23-08-2020,Product inquiry,0,2,Chat,0,0,0
34,1,GoPro Action Camera,14-10-2021,Product inquiry,0,0,Social media,0,0,0
55,1,Sony Xperia,26-08-2021,Technical issue,2,0,Chat,1,1,1
61,1,Nikon D,09-07-2021,Cancellation request,2,0,Social media,1,1,5
53,0,Nintendo Switch,08-05-2020,Product inquiry,2,0,Social media,1,1,1
54,0,LG Washing Machine,05-08-2020,Product inquiry,0,1,Chat,0,0,0
45,1,Canon DSLR Camera,10-05-2021,Technical issue,1,3,Email,1,0,0
56,0,Fitbit Versa Smartwatch,29-04-2020,Refund request,2,2,Email,1,1,1
23,1,Lenovo ThinkPad,18-07-2020,Technical issue,0,2,Chat,0,0,0
27,0,Bose SoundLink Speaker,30-11-2021,Product inquiry,2,1,Chat,1,1,5
31,0,LG OLED,13-04-2021,Technical issue,2,2,Email,1,1,4
29,1,Samsung Soundbar,06-06-2020,Technical issue,0,0,Phone,0,0,0
39,1,Canon DSLR Camera,01-03-2021,Billing inquiry,2,2,Email,1,1,3
59,0,Bose SoundLink Speaker,14-04-2020,Refund request,0,1,Phone,0,0,0
47,1,GoPro Hero,12-09-2020,Refund request,1,0,Social media,1,0,0
48,1,Apple AirPods,10-02-2020,Billing inquiry,2,3,Social media,1,1,1
34,0,Samsung Galaxy,18-01-2021,Technical issue,2,3,Social media,1,1,4
30,1,Nintendo Switch,05-11-2020,Technical issue,2,0,Chat,1,1,5
22,1,Dell XPS,21-06-2021,Billing inquiry,1,1,Chat,1,0,0
66,1,Sony Xperia,26-05-2020,Product inquiry,0,0,Phone,0,0,0
30,0,Sony PlayStation,29-11-2021,Cancellation request,0,1,Email,0,0,0
53,0,Google Pixel,25-09-2020,Billing inquiry,1,1,Chat,1,0,0
61,1,iPhone,27-10-2021,Product inquiry,0,0,Email,0,0,0
50,0,Google Pixel,11-09-2020,Cancellation request,0,1,Social media,0,0,0
68,1,Canon EOS,03-04-2021,Billing inquiry,1,1,Social media,1,0,0
66,0,Microsoft Xbox Controller,04-10-2021,Cancellation request,2,1,Social media,1,1,3
56,1,Nintendo Switch,28-01-2021,Refund request,2,1,Social media,1,1,2
47,0,Amazon Kindle,01-02-2021,Cancellation request,2,3,Phone,1,1,1
60,1,Fitbit Charge,26-11-2021,Technical issue,2,0,Social media,1,1,3
41,1,Nintendo Switch,29-07-2021,Technical issue,1,1,Chat,1,0,0
46,1,Sony PlayStation,05-05-2020,Refund request,1,2,Email,1,0,0
20,1,Google Pixel,13-10-2020,Refund request,2,3,Phone,1,1,1
63,1,Dell XPS,18-05-2021,Refund request,2,3,Chat,1,1,1
54,0,Amazon Kindle,07-07-2020,Technical issue,0,1,Chat,0,0,0
38,1,Adobe Photoshop,21-11-2020,Product inquiry,0,3,Phone,0,0,0
47,1,Fitbit Versa Smartwatch,04-07-2021,Billing inquiry,1,2,Social media,1,0,0
56,0,Sony PlayStation,01-06-2020,Billing inquiry,2,0,Social media,1,1,5
52,1,Garmin Forerunner,22-02-2020,Cancellation request,2,2,Phone,1,1,4
44,0,Nest Thermostat,06-03-2020,Product inquiry,1,2,Chat,1,0,0
42,0,Asus ROG,30-07-2021,Product inquiry,1,1,Chat,1,0,0
45,1,iPhone,18-03-2021,Technical issue,0,3,Email,0,0,0
57,0,Sony Xperia,05-01-2020,Technical issue,1,1,Social media,1,0,0
52,0,Lenovo ThinkPad,14-11-2021,Refund request,2,3,Social media,1,1,2
51,1,Google Pixel,07-05-2021,Cancellation request,2,3,Social media,1,1,4
54,1,GoPro Action Camera,10-12-2021,Technical issue,0,3,Email,0,0,0
56,0,iPhone,29-03-2021,Refund request,0,0,Chat,0,0,0
50,1,Sony PlayStation,02-04-2020,Product inquiry,0,0,Chat,0,0,0
65,1,Nintendo Switch Pro Controller,24-09-2021,Product inquiry,0,2,Social media,0,0,0
56,1,Fitbit Versa Smartwatch,19-09-2020,Refund request,0,3,Email,0,0,0
45,0,Philips Hue Lights,14-07-2021,Cancellation request,1,1,Chat,1,0,0
55,1,Microsoft Xbox Controller,23-11-2021,Technical issue,1,2,Social media,1,0,0
49,1,Canon DSLR Camera,13-06-2020,Technical issue,1,0,Social media,1,0,0
38,0,PlayStation,17-07-2020,Refund request,0,2,Email,0,0,0
60,1,Adobe Photoshop,23-07-2021,Cancellation request,0,3,Social media,0,0,0
36,0,LG OLED,23-07-2020,Refund request,2,3,Phone,1,1,4
34,1,Fitbit Charge,08-01-2021,Cancellation request,1,1,Phone,1,0,0
32,1,Bose QuietComfort,05-09-2021,Refund request,1,2,Phone,1,0,0
24,1,Nikon D,12-01-2021,Refund request,1,0,Chat,1,0,0
60,1,Fitbit Versa Smartwatch,27-02-2021,Technical issue,0,1,Email,0,0,0
24,1,Microsoft Office,24-05-2021,Technical issue,0,2,Chat,0,0,0
34,1,Dell XPS,10-12-2020,Cancellation request,0,0,Social media,0,0,0
46,0,Canon DSLR Camera,01-04-2021,Billing inquiry,2,2,Chat,1,1,1
26,1,Nintendo Switch,09-02-2020,Billing inquiry,1,3,Email,1,0,0
27,0,Samsung Galaxy,17-12-2021,Refund request,2,3,Chat,1,1,1
39,1,Microsoft Surface,29-06-2020,Cancellation request,1,2,Social media,1,0,0
18,1,LG Smart TV,22-11-2020,Technical issue,2,0,Social media,1,1,2
68,0,Dyson Vacuum Cleaner,27-04-2020,Product inquiry,2,0,Email,1,1,2
57,1,Google Pixel,16-06-2021,Billing inquiry,2,0,Social media,1,1,4
31,0,HP Pavilion,23-09-2020,Billing inquiry,0,2,Social media,0,0,0
27,1,Garmin Forerunner,19-06-2021,Refund request,2,2,Email,1,1,4
41,0,Google Nest,15-02-2021,Refund request,0,0,Chat,0,0,0
38,0,Garmin Forerunner,22-07-2020,Product inquiry,1,1,Chat,1,0,0
45,1,Sony PlayStation,22-04-2020,Technical issue,1,2,Phone,1,0,0
55,1,HP Pavilion,11-04-2020,Product inquiry,2,3,Email,1,1,4
29,0,Bose QuietComfort,04-09-2021,Billing inquiry,2,2,Social media,1,1,5
64,1,Philips Hue Lights,10-06-2021,Product inquiry,0,0,Email,0,0,0
50,1,Adobe Photoshop,30-09-2021,Technical issue,2,1,Social media,1,1,1
54,1,Canon EOS,12-06-2021,Cancellation request,1,3,Phone,1,0,0
69,0,LG Washing Machine,12-10-2021,Refund request,2,1,Social media,1,1,5
50,1,PlayStation,21-09-2021,Cancellation request,1,2,Social media,1,0,0
